image,title,artist,year,movement
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/El_Beso_%28Pinacoteca_de_Brera%2C_Mil%C3%A1n%2C_1859%29.jpg/1280px-El_Beso_%28Pinacoteca_de_Brera%2C_Mil%C3%A1n%2C_1859%29.jpg,the kiss,francesco hayez,1859,romanticism
https://upload.wikimedia.org/wikipedia/commons/0/0c/Franz_Marc_-_The_Foxes_-_Google_Art_Project.jpg,the foxes,franz marc,1913,expressionism / der blaue reiter
https://upload.wikimedia.org/wikipedia/commons/b/b0/Vincent_van_Gogh_%281853-1890%29_Caf%C3%A9terras_bij_nacht_%28place_du_Forum%29_Kr%C3%B6ller-M%C3%BCller_Museum_Otterlo_23-8-2016_13-35-40.JPG,cafe terrace at night,vincent van gogh,1888,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Lady_with_an_Ermine_-_Leonardo_da_Vinci_%28adjusted_levels%29.jpg/1280px-Lady_with_an_Ermine_-_Leonardo_da_Vinci_%28adjusted_levels%29.jpg,lady with an ermine,leonardo da vinci,1491,high renaissance
https://upload.wikimedia.org/wikipedia/commons/4/49/%22The_School_of_Athens%22_by_Raffaello_Sanzio_da_Urbino.jpg,the school of athens,raphael,1511,high renaissance
https://upload.wikimedia.org/wikipedia/commons/5/5e/John_Constable_-_The_Hay_Wain_%281821%29.jpg,the hay wain,john constable,1821,romanticism
https://upload.wikimedia.org/wikipedia/commons/5/5e/Vincent_Willem_van_Gogh_076.jpg,the night cafe,vincent van gogh,1888,post-impressionism
https://upload.wikimedia.org/wikipedia/commons/f/f7/Sir_Joshua_Reynolds_-_The_Ladies_Waldegrave_-_Google_Art_Project.jpg,the ladies waldegrave,joshua reynolds,1781,rococo
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/John_Singer_Sargent_-_Lady_Agnew_of_Lochnaw_%281892%29.jpeg/1280px-John_Singer_Sargent_-_Lady_Agnew_of_Lochnaw_%281892%29.jpeg,lady agnew of lochnaw,john singer sargent,1892,realism / impressionism / aestheticism
https://upload.wikimedia.org/wikipedia/commons/9/9c/Paul_Klee%2C_1922%2C_Red_Balloon%2C_oil_on_chalk-primed_gauze%2C_mounted_on_board%2C_31.7_x_31.1_cm%2C_Solomon_R._Guggenheim_Museum.jpg,red balloon,paul klee,1922,bauhaus / abstraction / expressionism / cubism
